day,hub_id,node_id,x,y,lat,lon,local_demand,objective
30,0,5268990011,1213.36,359.73,1.3553315,103.8307028,5,1991379.0
30,1,4838338623,17.35,727.67,1.3586367,103.8199559,5,1991379.0
30,2,5251317728,848.21,900.56,1.3601898,103.8274217,5,1991379.0
60,0,5646398854,924.52,831.23,1.359567,103.8281074,5,1966812.0
60,1,978172670,88.74,833.95,1.3595915,103.8205974,4,1966812.0
60,2,1125498206,1411.69,302.83,1.3548204,103.8324849,4,1966812.0
90,0,5698393598,1003.52,604.85,1.3575334,103.8288172,6,2081844.0
90,1,5158088563,178.99,910.31,1.3602774,103.8214083,5,2081844.0
90,2,4000033084,979.63,922.7,1.3603887,103.8286026,5,2081844.0
